[computeDictionary] Generating visual words...
pixel 0: 53 51 33
pixel 1: 53 50 11
pixel 2: 25 25 25
pixel 3: 25 25 25
pixel 4: 25 25 25
pixel 5: 25 25 25
pixel 6: 25 25 25
pixel 7: 25 25 25
pixel 8: 25 25 25
pixel 9: 25 25 25
pixel 10: 25 25 25
pixel 11: 25 25 25
pixel 12: 25 25 25
pixel 13: 25 25 25
pixel 14: 25 25 25
pixel 15: 25 25 25
pixel 16: 25 25 25
pixel 17: 25 25 25
pixel 18: 25 25 25
pixel 19: 25 25 25
pixel 20: 25 25 25
pixel 21: 25 25 25
pixel 22: 25 25 25
pixel 23: 25 25 25
pixel 24: 25 25 25
pixel 25: 25 25 25
pixel 26: 25 25 25
pixel 27: 25 25 25
pixel 28: 25 25 25
pixel 29: 25 25 25
pixel 30: 25 25 25
pixel 31: 25 25 25
pixel 32: 25 25 25
pixel 33: 25 25 25
pixel 34: 25 25 25
pixel 35: 25 25 25
pixel 36: 25 25 25
pixel 37: 25 25 25
pixel 38: 25 25 25
pixel 39: 25 25 25
pixel 40: 25 25 25
pixel 41: 25 25 25
pixel 42: 25 25 25
pixel 43: 25 25 25
pixel 44: 25 25 25
pixel 45: 25 25 25
pixel 46: 25 25 25
pixel 47: 25 25 25
pixel 48: 25 25 25
pixel 49: 25 25 25
pixel 50: 25 25 25
pixel 51: 25 25 25
pixel 52: 25 25 25
pixel 53: 25 25 25
pixel 54: 25 25 25
pixel 55: 25 25 25
pixel 56: 25 25 25
pixel 57: 25 25 25
pixel 58: 25 25 25
pixel 59: 25 25 25
pixel 60: 25 25 25
pixel 61: 25 25 25
pixel 62: 25 25 25
pixel 63: 25 25 25
pixel 64: 25 25 25
pixel 65: 25 25 25
pixel 66: 25 25 25
pixel 67: 25 25 25
pixel 68: 25 25 25
pixel 69: 25 25 25
pixel 70: 25 25 25
pixel 71: 25 25 25
pixel 72: 25 25 25
pixel 73: 25 25 25
pixel 74: 25 25 25
pixel 75: 25 25 25
pixel 76: 25 25 25
pixel 77: 25 25 25
pixel 78: 25 25 25
pixel 79: 25 25 25
pixel 80: 25 25 25
pixel 81: 25 25 25
pixel 82: 25 25 25
pixel 83: 25 25 25
pixel 84: 25 25 25
pixel 85: 25 25 25
pixel 86: 25 25 25
pixel 87: 25 25 25
pixel 88: 25 25 25
pixel 89: 25 25 25
pixel 90: 25 25 25
pixel 91: 25 25 25
pixel 92: 25 25 25
pixel 93: 25 25 25
pixel 94: 25 25 25
pixel 95: 25 25 25
pixel 96: 25 25 25
pixel 97: 25 25 25
pixel 98: 25 25 25
pixel 99: 25 25 25
pixel 100: 25 25 25
pixel 101: 25 25 25
pixel 102: 25 25 25
pixel 103: 25 25 25
pixel 104: 25 25 25
pixel 105: 25 25 25
pixel 106: 25 25 25
pixel 107: 25 25 25
pixel 108: 25 25 25
pixel 109: 25 25 25
pixel 110: 25 25 25
pixel 111: 25 25 25
pixel 112: 25 25 25
pixel 113: 25 25 25
pixel 114: 25 25 25
pixel 115: 25 25 25
pixel 116: 25 25 25
pixel 117: 25 25 25
pixel 118: 25 25 25
pixel 119: 25 25 25
pixel 120: 25 25 25
pixel 121: 25 25 25
pixel 122: 25 25 25
pixel 123: 25 25 25
pixel 124: 25 25 25
pixel 125: 25 25 25
pixel 126: 25 25 25
pixel 127: 25 25 25
pixel 128: 25 25 25
pixel 129: 25 25 25
pixel 130: 25 25 25
pixel 131: 25 25 25
pixel 132: 25 25 25
pixel 133: 25 25 25
pixel 134: 25 25 25
pixel 135: 25 25 25
pixel 136: 25 25 25
pixel 137: 25 25 25
pixel 138: 25 25 25
pixel 139: 25 25 25
pixel 140: 25 25 25
pixel 141: 25 25 25
pixel 142: 25 25 25
pixel 143: 25 25 25
pixel 144: 25 25 25
pixel 145: 25 25 25
pixel 146: 25 25 25
pixel 147: 25 25 25
pixel 148: 25 25 25
pixel 149: 25 25 25
pixel 150: 25 25 25
pixel 151: 25 25 25
pixel 152: 25 25 25
pixel 153: 25 25 25
pixel 154: 25 25 25
pixel 155: 25 25 25
pixel 156: 25 25 25
pixel 157: 25 25 25
pixel 158: 25 25 25
pixel 159: 25 25 25
pixel 160: 25 25 25
pixel 161: 25 25 25
pixel 162: 25 25 25
pixel 163: 25 25 25
pixel 164: 25 25 25
pixel 165: 25 25 25
pixel 166: 25 25 25
pixel 167: 25 25 25
pixel 168: 25 25 25
pixel 169: 25 25 25
pixel 170: 25 25 25
pixel 171: 25 25 25
pixel 172: 25 25 25
pixel 173: 25 25 25
pixel 174: 25 25 25
pixel 175: 25 25 25
pixel 176: 25 25 25
pixel 177: 25 25 25
pixel 178: 25 25 25
pixel 179: 25 25 25
pixel 180: 25 25 25
pixel 181: 25 25 25
pixel 182: 25 25 25
pixel 183: 25 25 25
pixel 184: 25 25 25
pixel 185: 25 25 25
pixel 186: 25 25 25
pixel 187: 25 25 25
pixel 188: 25 25 25
pixel 189: 25 25 25
pixel 190: 25 25 25
pixel 191: 25 25 25
pixel 192: 25 25 25
pixel 193: 25 25 25
pixel 194: 25 25 25
pixel 195: 25 25 25
pixel 196: 25 25 25
pixel 197: 25 25 25
pixel 198: 25 25 25
pixel 199: 25 25 25
pixel 200: 25 25 25
pixel 201: 25 25 25
pixel 202: 25 25 25
pixel 203: 25 25 25
pixel 204: 25 25 25
pixel 205: 25 25 25
pixel 206: 25 25 25
pixel 207: 25 25 25
pixel 208: 25 25 25
pixel 209: 25 25 25
pixel 210: 25 25 25
pixel 211: 25 25 25
pixel 212: 25 25 25
pixel 213: 25 25 25
pixel 214: 25 25 25
pixel 215: 25 25 25
pixel 216: 25 25 25
pixel 217: 25 25 25
pixel 218: 25 25 25
pixel 219: 25 25 25
pixel 220: 25 25 25
pixel 221: 25 25 25
pixel 222: 25 25 25
pixel 223: 25 25 25
pixel 224: 25 25 25
pixel 225: 25 25 25
pixel 226: 25 25 25
pixel 227: 25 25 25
pixel 228: 25 25 25
pixel 229: 25 25 25
pixel 230: 25 25 25
pixel 231: 25 25 25
pixel 232: 25 25 25
pixel 233: 25 25 25
pixel 234: 25 25 25
pixel 235: 25 25 25
pixel 236: 25 25 25
pixel 237: 25 25 25
pixel 238: 25 25 25
pixel 239: 25 25 25
pixel 240: 25 25 25
pixel 241: 25 25 25
pixel 242: 25 25 25
pixel 243: 25 25 25
pixel 244: 25 25 25
pixel 245: 25 25 25
pixel 246: 25 25 25
pixel 247: 25 25 25
